,star,date,review
1,5,2018년 8월 31일, 퍼즐 게임 중에 제일 신선하네요 설득력도 있고 신기방기
2,3,2018년 8월 6일, 다좋은데 자동 회전 안뇌게좀 해줘요 누워서하는데 자꾸돌아가서 진짜 화남
3,5,2018년 7월 11일, 이게임이 유명하지 않은게 이상하다!!정말 갓겜
4,5,2018년 8월 5일, amazing and beautiful
5,5,2018년 7월 30일, 그저 갓겜..
6,5,2018년 6월 22일, 하다보니 어느새 앤딩 ..... 다른 스토리 없나요?
7,5,2018년 7월 21일, 굿~~!!
8,5,2018년 6월 30일, 완벽한 퍼즐 그자체. 유일한 단점은 후속작이 없는것
9,5,2018년 7월 22일, 먼 내용인진 모르겠으나 참신하다
,3,2017년 7월 5일," 게임 재밌게 플레이하고 있습니다. 다만 속도계를 활성화한 채 자동차 운전을 할 때 방향키를 뗀 상태에서도 우회전이 되는 이상 오류와, 두번째 지역 차고가 정상적으로 열리지 않는 오류 때문에 조금 불편하네요. 수정 부탁드리겠습니다."
0,5,2016년 2월 10일,최고의 게임일수록 더 낮은 점수가 비례한다. 셀바스거랑 같은겁니다ㅋ 단지 버전이 다를뿐 10주년기념이라 같다하는 사람들 당연한이야기입니다. 좋은게임욕하지 마세요
1,5,2017년 3월 27일, 뭐 좀 좋네여!! 미션이 좀 어려지만.. 저는.. 8볼인가 어떻게하는지 모르겠어여 ㅠㅠ 넘나 어려움…그리고 폰으로 하게돼서 좋습니다!!또 5도 폰으로 하게해주시고 멀티 가능하면 하게하주세여 부탁드립니다 그리고 이건 셀바스껄로 하는게 좋습니닷... 여러분 왜냐면 차패치도 거기밖에 않 돼고 버전도 그게더 좋고 그래픽이 더 좋으니까여 락스타 짱!!^^
2,1,2017년 5월 10일, 제 폰이 이상한건지... 운전할때 왜 자꾸 오른쪽으로 쏠리는거죠.. 걍 핸들조작 안하고 직진하는데 자꾸 오른쪽으로 꺾여서 제대로 조작하기가 힘들어서 게임을 못하겠습니다;; 버그인가요?
3,2,2016년 9월 17일,차패치가 안된다 왜 복제판이 이득을보고 정식판이 부이득을보는걸까 이런식으로 만들거면 아예만들지말지 차패치가되게수저왰으면 좋겠다
4,5,2016년 11월 29일,개꿀잼 근데 왜 비행기가 하늘을 날지못하나요???      날수있으면 좋겠습니다.^^                             환불해달라는분들은 들으세요!  님 폰이 쓰렉인겁니다.
5,5,2016년 7월 5일,댓 보다가 너무 답답해서 쓴다 아니 환불해달라는 도둑놈들은 뭐지? 실컷 즐기다가 오류 하나 나오니까 10분 훨씬 지나놓고 환불 운운하네? 나참 어이가 없어서...  그리고 셀바스꺼랑 같은거라고? 당연한걸 가지고 환불 운운하노... 어이가 없네...당연히 제목이 gta3이면 같은 게임이지.  gta3이 세상에 하나밖에 없는데 그럼 다르겠냐? 그리고 재미없어서 돈 환불해달라는 급식 무뇌충 도둑놈들은 아예 답이없다. 재미없으면 10분안에 환불하던가.
6,1,2016년 6월 28일,제작자님 제작자님 리소스를 다운받는 다고 하는데 자꾸 페일이 되요...어떻게하죠?답변 부탁드려요...그래서 게임 삭제했다가 다시 깔려고하니 또 돈내야하네요......3000원 버린 건가요?일단 다시 깔기는 깔았어요...어떻게 하는 지 알려주세요
7,4,2016년 6월 8일,재밌긴한데... 갤s7인데 나가려고 뒤로 누르고 종료누르면 메뉴 글씨 안보이면서 터치도 안되네요 될때도 있고 안될때도 있고.. 강제종료 하고 있어요 고쳐주세요
8,5,2017년 2월 8일, ViceCity보다 나은점은 바퀴터지게 하는 지뢰가 없어서 더 자유로운 레이싱이 가능하다는것. 나름대로 명작이다.
9,4,2016년 3월 15일,좋은게임 그런데 미션중에 자동저장기능있는건 좋은데 튕기고있네요 수정이 어렵다면 직접세이브를 자주해줘야할듯
,3,2018년 10월 8일, 사실 그레니가 그렇게 재밌진 않고 안 친한 사이가 갑자기 친해지게 만드는 게임 같네요. 근데 가끔씩 이걸 하다가 머리가 갑자기 엄청 아파질때도 있더라구요. 저만이 아니라 친구 2명도 그렇다고 하군요.저한텐 보통의 게임입니다.
0,4,2018년 11월 15일," 그래니한지 7개월 됐는데여,벌써 익스트림을 12번이나 깨서 연습모드를 하고 있습니다.다른 모드좀 추가해주세여 뭐...임파서블(익스트림보다 할머니가 1.5배 빠름,아이템 위치 변경)이런거나 8인 모드(석궁 2개,할머니 4,인간 4)이런거좀 추가해주시면 별9999999999999999999999999999×9999999999999999999999999999개도 드릴수있어요!!"
1,5,2018년 11월 24일, 그래니 진짜 너무 재밌고 심심할때 항상 하고있는게임이에요 !!한가지 피드백을 드리자면 두명에서 할수있는 팀전 플레이가 나왔으면 좋겠어요ㅠㅠ 게임 잘하고있습니당 ❤❤
2,5,2018년 10월 24일, 그래니 시작한지 1달된 유저입니다. 그래니가 너무 재밌어 계속하다보니 벌써 익스트림을 6번이나 클리어를하게 됬네요. 미친 아줌마를 찾으면 나오는 엔딩이 생겼으면 좋겠네요
3,5,2018년 8월 23일," Granny가 더 어려워졌어요!! 이건 어떻게 하는 건가요? 아... 너무 힘드네요... 그러나 Practise 모드로 연습해서 Easy, Normal, Hard 모드 도전해보도록 하겠습니다! 수고하세요, DVloper."
4,5,2018년 9월 26일, 이정우님 정말 어이없네여ㅋㅋㅋ 아니 니퍼를 못찾겠으면 공략영상을보고 오든가ㅋㅋㅋㅋㅋ 아 진짜 어이없네? 뭐라해야할지 모르겠넼ㅋㅋㅋ 웃음만 나온닼ㅋㅋ 진짜 이런 말같지도 않은악플달지마세옄ㅋㅋ 아님 빡치겠지만 판 다시 돌리든가
5,2,2018년 10월 7일, 저기요 저1번죽어가지고 문잠겨서 소리를네어 유인했는데! 왜 그래니가안오죠? 그레가지고 했던거다 날라갔..ㅡ.ㅡ 게속문이나 유리병 테이블 엑자 여러가지를 시도해보았지만 안열렸는데요?
6,5,2018년 9월 10일, 음...다 좋아요 근데 물어볼께 있어서요 2층 계단 워쪽을 보시면 양초같은게 있어요 근데 그거 어띃게 꺼네요 이럴떼를 데비해서 멀리서도 물건을 얻을수 있게 만들어 주세욤 그렇게 해주시면 별 10000000000개도 더 들리수 있어요.그렇게 해주시면 정말정말 감사하겠어욤.
7,5,2018년 8월 30일," 멀티 플레이가 나왔으면 더 좋을듯 싶네요.물론 지금도 좋지만 멀티 플레이가 나오면 여러가지 방법으로 게임을 플레이 할 수 있을 것 같네요.xbox나 디스코드,핫스팟,블루투스로 연결 가능해지면 좋겠네요"
8,5,2018년 11월 5일, 간이 콩알만한 제가 그나마 쫄리면서 할 수 있는 공포게임이에요! 적당히 무섭고 레벨도 많이 나누어져 있고 재미있습니다
9,5,2018년 11월 18일, 이게임 외나옴 넘 재밌잖아요 제 형안테도 추천 헸더니 무섭지만 제밌있다네요 제작자님 이게임 넘 재밌게 하고있는 유저니다 이지도  탈출헸는데 이지~익스트림 도 탈출헸어요 다음엔 이펙트림 난이도 추가헤주세요 ^^
,1,2018년 11월 13일, 1860판 있고 한판에 한번씩 광고나옵니다. 참고해주세요. 광고보고 아이템얻는거 있는데 어디쓰는지도 모르겠고 없어도 어려움 없음.
0,4,2018년 12월 1일, 각 레벨 별 3개씩 다 찍고 막판까지 다했는데 다음 레벨은 준비중이라 나와요. 빨리 만들어주세요. 3일만에 막판까지 가는 게임은 너무한거 아님? ㅡㅡ
1,5,2018년 12월 3일, 광고가 너무 많은거 같아요 한판에 하나씩 나오는게...말이 안돼요 그래도 재밌어서 별 5개!! 드립니다 아!!그리고 물병 표정 좀 추가해주시면 더 좋을것 같아요~♡bb
2,3,2018년 11월 15일, 레벨을 높게 올려놓고 코인도 매일 많이 쌓아두는데 하루에 한번씩 리셋이 되네요 ㅎㅎ 광고도 너무 많은것 같아요ㅜ 리셋되는건 빨리 해결해주셨으면 좋겠습니다 ~
3,1,2018년 11월 14일, 깰때마다 렉이 더해지고 선그을때 렉걸려서 그어질때까지 기다리는 게임인건가... 광고조차 버벅거리고... 난이도는 또 왜이리쉬운건지...
4,1,2018년 11월 18일, 게임시작눌렀는데 화면까매지더니 아무것도 안눌려서 껏다 켰더니 게임 리셋됬어요 친구랑 같이하고있었는데 친구도 빡쳐서 친구폰에 있던거 삭제함 광고 열심히보면서 깨고있었는데 다시복구안도ㅣ나요 ㅡㅡ
5,4,2018년 11월 14일, 광고가 많지만 재밌습니다 한글화도 해주셔서 좋네요 이벤트시즌마다 컵 바뀌는거 귀여워요 ㅋㅋㅋㅋ 배경음 선택하게 해주시면 안되나요 ㅠㅠ 크리스마스 배경음 너무 마음에 드네요 시즌 지나도 듣고싶어요ㅋㅋㅋ
6,5,2018년 11월 12일," 폰은 있는데 밖이고 데이터도 없을 때나 지하철, 버스, 야외에서 기다리거나 할 거 없을 때 간단하게 할 수 있는 게임이에요"
7,4,2018년 11월 13일," 한판 할때마다 광고가 나오지만 지루하고 심심해 하는 사람들 버스,등 편한하게 즐길수 있는 게임 입니다^^"
8,3,2018년 11월 17일, 게임은 재밌어요!! 집중되고~~ 문제를 다양한 방법으로 통과할 것 같은데 정답이나 획기적인 방법 알려줌 좋겄어요
9,5,2018년 11월 24일, 단순한 킬링타임으로 시작했는데 뇌 저~안쪽을 쓰는 기분이랄까요^^ ㅋㅋ 단순한듯 하면서도 뭔가 궁리하게되네요. 다만 광고가 많은 편이라 조금 맥이 끊길때가 많은게 아쉽지만. 공짜게임이니 감수합니다~^^
,5,2018년 12월 4일, ﻿이렇게 핫한 소개팅앱 써본거는 오랜만입니다 ~. 새로운사람 그리고 다양한 사람 덕분에 항상 재밌게 소개팅 즐기고 있어요 . 저번에는 소개팅하다가 좀 대화 잘통해서 만남도 해보고요 ㅋㄷㅋㄷ ~ 앞으로도더좋은 사람 많이 만납 볼 수있게 좋은 서비스 잘 부탁드리겠습니다 별점 1점 드려요 이렇게 핫한 소개팅앱 써본거는 오랜만입니다 로운사람 그리고 다양한 사람 덕분에 항상 재밌게 소개팅 즐기고 있어요5637
0,5,2018년 12월 5일, ﻿제가 해 본 카카오 게임중에 최고입니다 댓글중에 게임 로딩 시간 고치라 이런거 있는데 원래 2537인에서 게임하면 기다려야하는게 정상 아닌가요?? 핸드폰 기종마다 속도가 다른건 당연한건데.. 그리고 현질 안하고도 업적달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는거같아요 ^^
1,4,2018년 11월 20일, 일단 이 게임진짜 잘만드신것같고 재밌어요 어디에서나 할수있고 심심할때 플레이하기 좋아요. 하지만..광고가 너무많은것같아요 리뷰를 살펴보니 저만 그런게 아니네요..진짜 게임 잘만드신 것같은데 게임 4~5판정도 할때마다 규칙적으로 광고가 많이 나와서 플레이하다가 광고떼문에 짜증나서 광고가 나오는 즉시 꺼버리고 다른게임을 하고 싶을때가 많이 있는것 같아요 쓰다보니 리뷰가 상각보다 길어졌네요..ㅎ 그래서 결론적으로 광고를 없애주셨으면 해요
2,5,2018년 12월 2일," '헬릭스 점프'는 친구가 하게 되어서 알게 되었는데요, 예상보다 재미있더라고요. 바깥에서 할 일이 없을 때는 언제나 휴대전화를 잡고, 이 게임을 키게 되는 것 같아요. 정말 재미있기는 한데, 광고가 너무 많이 나와서 집에서 헬릭스 점프를 할 때도 언제나 와이파이를 끄게 되네요... 뭐 그것도 장점이라면 장점같아요. 재미있는 게임 만들어주셔서 감사합니다!"
3,1,2018년 11월 18일, 저는 이게임을 즐겁게 하고 있는 유저인데요 너무 광고가 많이 나와서 그런데 광고를 없애주시지는 못하시겠지만 조금이라도 줄여주시면 안될까요? 게임하는 시간보다 광고보는 시간이 더 많아서 그럽니다. 제발 부탁드릴께요.
4,1,2018년 12월 2일, 렉이많이 걸리고 최신폰인데 15년 된 핸드폰같이 너무 구려요. 그리고 광고는 틱톡광고(고양이송)가 자주 나왔는데 게임에서 가장 심한 것은 게임광고입나다. 게임광고가 렉이 걸리거든요. 게임광고를 100% 없애주시고 틱톡광고를 100% 표출시키고 평생 지속되게 해주시고 렉을 많이 줄여주세요. 그렇게 하편 최고점수를 많이 점수줄게요.
5,5,2018년 11월 18일," 이거 진짜 갓겜 입니닷! 여러분 제가 광고 안 나오게하는 꿀팁 알려드릴까요? 이거는 와파를 끄고 해도 실행은 되는 게임 입니다. 그러니 와파를 끄고 하면, 게임은 실행되지만, 실시간으로 뜨게 되는 광고는 와파가 없으니 안 뜹니다. 게임 실행중이시라면, 와파를 끄고, 처음부터 다시 시작하시면 됩니닷! 유용하게 이용하세여ㅎ"
6,5,2018년 11월 25일, 광고 많이 나오신다는 분들 와이파이 끄세요.그런데도 나오면 데이터를 킨거에요.이 겜 갓겜입니다.뭐 와파끄면 부활이 없긴 하지만...어쨋든 갓겜은 갓겜입니다.근데 가끔 버벅 거리는 렉이 있더라고요.그런것만 조금 수정해주시면 되겠습니다
7,1,2018년 12월 3일, 광고너무많아요게임끝나면광고또끝나면광고짜증나요아무리와파필요가없어도광고가많잖아요? 와파없어도광고나름대로나와야겠죠? 이거좀수정해주세요;댓보니가좋은뎃만이없고광고많다는이야기많네요;;당장수정해주세요 아님신고할께요;좋은댓들도없고외국인이만들었어도답글으적어줘야되잖아요;;
8,5,2018년 11월 24일, 광고 이겨내는 꿀팁! 1 집에 와이파이 터지죠? 근데 왓파를 잠깐끄세염 2데이터도 꺼주세욤 ㅎㅎ 3게임을 하면서 한...2~3번 정도?하다가 죽으면 와이파이를 키세요 4그러면 광고가 안나와용((하나도 팁! 단 살아나는 광고는 나와요 5제가 발견한 꿀팁입니다 6재밌는 플레이 하세여!!
9,3,2018년 11월 17일," 광고가 많은 것까진 괜찮다고 칠게요. 근데 제발 광고좀 영상광고가 아닌 그냥 안움직이는 광고로 한다던가, 광고 나올 때 소리라도 안나오는 상태로 나오게 해주세요. 게임하다가 광고 나올 때마다 갑자기 소리 너무 시끄럽거나 너무 오래가는 광고가 많아서 불편하네요"
,5,2018년 12월 5일, 동시에 2명 또는 여러명이 즐길수있으면 좋겠는데 리플레이로 경주를 하는게 매우 아쉽네요 그래도 최고입니다
0,5,2018년 12월 1일, 이 게임 1년 만 인데도 아직 옛날과 똑 같네요 ㅎㅎ
1,4,2018년 11월 30일, 번거로운 게 많이생김
2,5,2018년 12월 4일, 진짜 재미있고 꿀맛잠 대박재미 훌 륭하다
3,4,2018년 12월 2일, 시간보내기 최고네요
4,5,2018년 12월 2일, 3있으면 좋겠어요.
5,4,2018년 12월 2일, 완전좋아요! !!!추천추천!!
6,5,2018년 12월 4일, 재미있게 즐기고 있습니다 ^^
7,5,2018년 12월 4일, Mens and
8,5,2018년 12월 3일, Good
9,5,2018년 11월 28일, 최고
,2,2018년 11월 25일, 아이가 잘못눌러서 결제를 했는데 당장 취소해 주세요..우리한테는 중요합니다
0,5,2018년 9월 24일, 꾸준한 업데이트 감사합니다. 차에 브레이크 등이 들어왔으면 좋을거 같고 차량의 속도도 알수 있었으면 좋겠습니다. 그리고 차량마다 계기판의 디자인도 달랐으면 좋겠습니다. 그런 디자인에 좀더 신경써주시면 좋겠습니다!!!
1,1,2018년 9월 26일, 결제를 하면 바로게임튕기게되며 바로 접속안됨 다시 깔고 구글아이디 재접속하면 결제했던 다이아 돈 다 사라져있음 이거 저번 버전에도 그랬는데 다시 문제 됨 내돈만 먹은 게임이 됨
2,5,2018년 10월 31일, 에 빨간 비행기같은차로 달리니깐 나무 잘깨지내요. 근데 너무 어려워요. 나무가잘깨졌으면 해요.
3,3,2018년 9월 7일, 8000원 결제하고 겜계속팅겨서 삭제하고 다시깔앗는데 환불좀
4,1,2018년 10월 17일, 견제하고 게임이안됨 뭐하는거지 환불헤주셈
5,4,2018년 9월 22일, 이거에 시간을 다소비하고있음
6,5,2018년 9월 26일, 악플러들아 니네가 못한다고는 생각안하니?
7,5,2018년 11월 9일, 저도예전에 이게임일했는데 재미있어어요.
8,1,2018년 10월 21일, 8000원짜리 아이템 결제후 게임 접속이 안됨 해결해주던가 환불해주세요
9,5,2018년 10월 1일, 오랜기간동안 사랑받은 이유가 있습니다 간단히 즐기기에도 재밌네요
,4,2018년 12월 4일, 게임은 재밌는데 좀 렉이 걸려요ㅠㅠ 그리고 친구는 맵이 3개 뜨던데 저는 도시랑 해변밖에 안 나오고... 또 블루투스로 하는 모드도 안 뜨네요.
0,3,2018년 12월 5일, 렉인지... 화면이 잘안보이네요. 도시에서 할때 화면전체가 파란색이다가 구멍이커지면 정상으로... 특히 건물들 사이에 지나갈때 그런현상이 심합니다.
1,5,2018년 12월 2일, 진짜 재미있어요! 그런데 맵을 선택할수 있으면 좋겠네요 ㅎㅎ
2,5,2018년 11월 30일, 심심할때 좋아요 만렙찍었네요 맵 많이 있으면 좋겠어요 그리고 맵 선택 가능하게 해주실 수 있나요?
3,4,2018년 12월 1일," 맵이 해변이랑 도시밖에 안떠요ㅠㅜ 지인들은 미래의 도시도 뜨던데말이죠,,.."
4,1,2018년 12월 1일, 터치가 안돼요..시작도 못했네요..
5,2,2018년 12월 1일, 게임이 재밌긴한데 터치도 갑자가안되고 광고도 너무많이나오고 렉도 너무 심하네요
6,5,2018년 12월 4일, 앱 터치가안되네요 어떻게 처리좀 부탁드립니당
7,5,2018년 12월 1일," 왕!중독되면서,재밌어져!ㅎㅎ재작자 짱!!"
8,1,2018년 12월 4일," 3번이나 지웠다 깔아도 시작도 안되고,터치가 아예 안되네욥"
9,5,2018년 11월 29일, 넘나재밋어요!!!!!><
,4,2018년 12월 7일, 777시리즈 속력이랑 연료효율좀 높여주세요 어떻게 787시리즈 보다 속도가 느리고 항속거리가 짧나요! 그리고 350시리즈랑 330neo시리즈도 가장빠른시일내에 조속히 출시해주시고 대한항공 787시리즈에 추가해주세요
0,5,2018년 12월 6일," Can you add airport buildings, cities and more to Infinite Flight? I would appreciate it if you could add it"
1,5,2018년 12월 6일," Hello, can I ask for Air Pohang livery for CRJ200? It is the only plane they have in their fleet."
2,5,2018년 12월 6일, I want to add to a A350^^
3,5,2018년 11월 29일, 게임은 진짜 좋아요. 근데 제가 다운 받을때 할인을 해서 공짜로 받고 들어갔는데 중간에 결제 하는게 또 있더군요. 그걸 무시하고 a380으로 KORD에서 EHAM으로 가는데 갑자기 화면 위쪽에 빨간 글씨가 뜨면서 갑자기 속력이 줄어들더군요. 어떻게 된거죠?
4,4,2018년 11월 24일," 제가 외국유튜버들이 이 게임을 해서 멀티플레이를 하고싶어서 이 게임을 구매했는데 돈을 주고 계속도 아니고 돈을 내고 몇달 동안만 멀티, 국제를 운행 하라 고 하니 더 어이가 없군요. 에어버스(AIR BUS)는 A320도 아니고 A321를 줘놓고 어쩌라는 겁니까? 멀티서버가 비싼것은 알고있습니다. 그런데 이건너무 심하네요. 그치고 제가 폰을 바꿨는데 게임 실행이 안돼네요..."
5,3,2018년 12월 2일, 어떻게 앱을 돈 주고 샀는데 멀티를 또 무제로 무료하면 인기가 많지 1년에 90000원??? pro 하라고 몇 ft 올라가면 속도가 막 줄어들고 이거 공항도 없고 비행기도 몇개 밖에 안 주고
6,5,2018년 11월 8일, 제가 세계여행 업데이트 전부터 했는데 정말 세계여행 업데이트까지 온게 대단하신것 같습니다. 앞으로 더 많은 기종과 도장들 그리고 전투기들 공항 여러가지 것들을 많이 개발해주셨으면 좋겠습니다. 앞으로도 응원하겠습니다!! 감사합니다~^^
7,1,2018년 11월 27일, 한국에 게임을 냈으면 한국어로 답변을 내세요. 멀티 기간제 무료라니.. 넥슨도 이게임싫어하겠다
8,4,2018년 11월 17일," I think this game is so good, and this company accepted my proposal. My proposal was """"make Cebu Pacific Airline's Skin."""" So I'm very thanks to you~^^ I was questions for some korean players, ""What is need for this game?"" and they said ""F-15E!!"" And i said, ""another need?"" And theh said ""Black Eagl...전체 리뷰I think this game is so good, and this company accepted my proposal. My proposal was """"make Cebu Pacific Airline's Skin."""" So I'm very thanks to you~^^ I was questions for some korean players, ""What is need for this game?"" and they said ""F-15E!!"" And i said, ""another need?"" And theh said ""Black Eagles Team skins!!"" So I request for Infinite Flight, Make F-15E with Black Eagles Team Skins. I believe you accept this proposal. Thank you for Infinite Flight~"
9,1,2018년 11월 26일, 이 게임을 돈주고 삿는데 비행기도 사야되고 심지어 밧심할려면 돈도 더내야되요? 아니 이 게임자체를 돈주고 샀는데 밧심은 무료로 안해주나요?
,1,2018년 8월 26일," 와~잠깐만요…이거 리뷰 남길때 첫번째 물음이 ""날 행복하게 하나요?""였거든요.진짜 소름돋네요. 이건 게임도 아닙니다.이렇게 귀여운 인형을 때리고 고문하다니 말이 됩니까?게다가 이게 7세이상이라니요.제 동생이 이게임 하다가 울었습니다.당장 지우세요."
0,1,2018년 8월 15일," 게임보다 광고가 더 많이 나오네요. 그러면서 아이템은 메우 비싸요.이따위로 만들거면 만들지 마세요. 그리고 이정도로 잔인한 게임이 
7세라는 것도 말이 안돼요 이런부분 수정 안하시면 저 진짜 이게임 신고 할거에요.그리고 제가 이말은 진짜 하기 싫은데 이런게임 
만드실거면 게임 만들지 마세요."
1,1,2018년 9월 14일, 아니 어떻게 이렇게 잔인한게임을 7살미만이라고 헐~~ 어이 없어 댓글 말 들을걸ㅠㅠ 아니 제 동생이 7살이라서 말을안들어서 스트레스 좀 풀려고 깔았는데 이건 정말아니라고 생각합니다. 솔직이거 하면서 기쁜사람사람이 아님
2,1,2018년 8월 12일," 아니 어떻게 게임을 이따구로 만듬? 아니 잔인한 데다가 아이구7세 이상? 아유 님 술취하고 게임 만들었음? 게다가 로그인도 잘 안되고 
튕기는 데다가 자꾸 하얀색 바탕 뜨는거 뭔데? 구닥다리 기능 총 집합한 게임이네 내가 너무 착해서 별 1개 준다 고마워해라"
3,1,2018년 10월 13일, 진짜 ㅁㅊ??아니 7살때부터 이런걸 할 수 있게 만들어 놓으면 어떻게할거임.. 진짜 에들 싸이코로 만들려고 작정함?그리고 사람이 맞아도 죽는데 인형한테 하고 죽으면 쓰레기통에 버리고 게다가 이거 광고 쳐먹을려고 만들었냐? 광고 오지게 많이나오네
4,1,2018년 8월 7일," 이거 들어 가면 팅귀고 드디어 들어왔는데 이젠 또 멀누르라고 해서 누르니깐 렉 걸려서 팅귀고 짱. 별로 잎니다. 참고로 와이파이 매우 
강함이고 하도 안되서 데이터까지 켰음니다. 깔자 마자 지웠음니다. 그리고 이 게임이 왜 인기 2위인지 모르겠음니다.그리고 마지막 전부 
거의다 별한개 든데..."
5,1,2018년 10월 6일, 제가 왠만하면 별 개 주는데 계속 께쏙 중지가 떠서 기다리고 또했는데 안되는거에요? (문의 했는데도 답이 안오고..)그래서 지웠다깔고 했는데 계속 안되서 그트레스릉 더 받았네요 다시는 이게임 안합니다
6,1,2018년 10월 7일, 안녕하세요 제가 10살인데요 석궁을 밑에서 잘 쏘면 고×에맞습니다 그리고 왜 만 7세입니까!!!그리고 이게임으로 스트레스 푸시지 마시고 차라리 배개를 때리시는게낮습니다
7,1,2018년 8월 10일," 제가 이 게임을 하곤 정말 충격받았습니다.어떻게 제 학교 요리 방과후 형을 연쇄실인마로 만들 수 있죠?당신이 이게임속에 들어가 이 
인형처럼 최악의 고문을 할 수 있죠?플레이 스토어에서 당장 폐겜 하세요 알았죠???!!!"
8,1,2018년 8월 5일," 사람을 막 때려봤어 어!? 자기가 한번 이겜에 들어가서 두들겨 맞아봐라 그리고7세7게가하면 미래를 완전 살인마가돼버려 피를보려고 
하는겜완전싫어 난살인마가 돼기싫고 지옥을가기도싫어 피를보려고하면 완전 싸이코패스야 이런겜 을 왜7한테할수있을까? 님들인정?"
9,1,2018년 9월 16일, 사실 이 세상엔 나쁜사람 밖에 없다..이딴거 만드는 사람부터가 잘못 된거고..아무리 화가나고 스트레스 받아도 이렇게 사람 때려서 풀면 마음도 답답하고..솔직히 따라 배운다..이딴거 얼른 지우는게 낫지 않겠니?이거 솔직히 좋다고 한사람..만든사람..못됐다
,5,2018년 12월 6일," 유료타워나 영웅쓴다고 난이도가 확 쉬워지는 것도 아닌데 유료타워, 영웅없어서 난이도 어렵다고 한 애들은 전략게임에서 전략을 짜기는 하는거냐? 평소 양산형게임들처럼 자동누르면 알아서 타워설치되고 쉽게 클리어 될줄알았어? 유료타워나 영웅은 색다른 전략을 사용하고 싶은 사람들 이용하라고 만들어 논거지 그게 절대적인 것은 아니란다. 기본으로도 모든 난이도 클 가능하다. 아직도 게임을 생각없이 해놓고 실력이 오르길 원하는 사람들 되게 많네 ㅡㅡ"
0,5,2018년 12월 6일," 묘하게 이전 시리즈보다 타격감이 약해졌어요. 뭐라고 딱 집어서 말하긴 어려운데 킹덤러쉬 특유의 착 달라붙는 조작감같은게 덜 느껴져서 아쉽네요. 여타 타워디펜스보다 킹덤러쉬가 좋았던게 그 미묘한 조작감의 차이 때문이었는데...생각해보면 아이언마린도 같은 이유로 아쉬웠는데 그때쯤부터 뭔가 변했나 싶기도 하구요. 그래도 여전히 갓덤갓쉬라 재미는 있습니다. 다만 전작들이 워낙 갓갓이라 그런거죠. 아참, 그리고 유료타워는 없어도 플레이에 지장이 없었습니다."
1,2,2018년 12월 6일, 난이도 조절 실패같음. 방어+공격 동시에 가능한 타워가 늘면서 한가지 타워만으로 전 판 클리어 가능.. 굳이 아니더라도 출구쪽엔 유령타워 한개+박쥐 그 외 나머지 전부 활타워+독수리 이 두 종류 타워만 있으면 전 판 그냥 클리어 가능... 아니면 유령타워 1개+ 그외 나머지 아무타워 조합으로 가도 됨. 그냥 가능한 정도가 아니라 녹는 수준임.
2,4,2018년 12월 5일," 유료타워 전부 구매해서 사용해 봤는데, 딱히 기존 타워보다 좋다고 느껴지진 않습니다. 기존 타워로 조합해서 쓰는게 훨씬 좋아요. (딱히 특정 형태의 데미지를 요구하는 맵도 보이지 않았구요.)  또한 유료 타워를 제외하더라도 타워의 바리에이션이 더 넓어진 것이 장점이라 할 수 있습니다. 업그레이드도 모든 타워에 3종류 있고.  난이도가 높다고 징징대는 리뷰도 있는데 오히려 저는 난이도가 기존 작품보다 훨씬 낮아서 너무 빨리 컨텐츠가 소모되는 경향이 있어서 조금 아쉬웠습니다.   전례대로 추가 맵이 개방되거나 무한 모드가 나온다면 더 ...전체 리뷰유료타워 전부 구매해서 사용해 봤는데, 딱히 기존 타워보다 좋다고 느껴지진 않습니다. 기존 타워로 조합해서 쓰는게 훨씬 좋아요. (딱히 특정 형태의 데미지를 요구하는 맵도 보이지 않았구요.)  또한 유료 타워를 제외하더라도 타워의 바리에이션이 더 넓어진 것이 장점이라 할 수 있습니다. 업그레이드도 모든 타워에 3종류 있고.  난이도가 높다고 징징대는 리뷰도 있는데 오히려 저는 난이도가 기존 작품보다 훨씬 낮아서 너무 빨리 컨텐츠가 소모되는 경향이 있어서 조금 아쉬웠습니다.   전례대로 추가 맵이 개방되거나 무한 모드가 나온다면 더 만족스러울 것 같습니다."
3,5,2018년 12월 5일, 엔딩 후 추가 보스 같은건 없나요? 엔딩 보고나서도 숨겨진 보스 같은거 있으면 좋겠네요.
4,4,2018년 12월 6일, 킹덤러쉬 시리즈 전부 구입한 유저인데 이번 작품은 음악들으면서 할 수 있어서 너무 좋은듯 유료타워가 생긴건 유감임 돈미새까진 아니지만 조금 실망
5,5,2018년 12월 2일, 최고입니다 앞으로도 많은게임 제작부탁드립니다
6,3,2018년 12월 6일, 전편에 비해 기대가 좀 떨어져도 그냥 저냥 나쁘진 않네요
7,4,2018년 12월 2일, 다좋은데 타워까지 유료타워를 내놓는건 너무한거 아니오?
8,1,2018년 12월 4일, 뭐시 유료게임이 유료템이 이렇게 많어 ㅡㅡ 난이도도 유료템 기준으로 맞춰놨는지 예전이랑 다르게 아이템 안쓰고는 진행시킬 방도가 안보이는 수준이네;;;
9,5,2018년 12월 2일, 역시 믿고 하는 아이언하이드
,5,2018년 12월 3일, 광고
0,5,2018년 11월 22일, 너무너무 재미있습니다..💕👍
1,5,2018년 11월 18일, 최고의 게임
2,5,2018년 11월 4일, Good
