,name,review,lda-result-cosine,lda-result-euclide
262,Granny, 그러니 진짜 너무 재밌고 심심할 때 항상 하고 있는 게임이에요!! 한 가지 피드백을 드리자면 두 명에서 할 수 있는 팀전 플레이가 나왔으면 좋겠어요ㅠㅠ 게임 잘하고 있습니다 ❤❤,"('Bloons TD 5',)","('Bloons TD 5',)"
263,Granny, 그러니 시작한 지 1달 된 유저입니다. 그래니까 너무 재밌어 계속하다 보니 벌써 익스트림을 6번이나 클리어를 하게 됐네요. 미친 아줌마를 찾으면 나오는 엔딩이 생겼으면 좋겠네요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
264,Granny," Granny가 더 어려워졌어요!! 이건 어떻게 하는 건가요? 아... 너무 힘드네요... 그러나 Practise 모드로 연습해서 Easy, Normal, Hard 모드 도전해보도록 하겠습니다! 수고하세요, DVloper.","('Cluedo',)","('Cluedo',)"
265,Granny, 이정우 님 정말 어이없네요 ᄏᄏᄏ 아니 니퍼를 못 찾겠으면 공략 영상을 보고 오든가ㅋㅋㅋㅋㅋ 아 진짜 어이없네? 뭐라 해야 할지 모르겠넼ㅋㅋㅋ 웃음만 나온닼ㅋㅋ 진짜 이런 말 같지도 않은악플달지마세옄ㅋㅋ 아니면 화나겠지만 판 다시 돌리든가,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
266,Granny, 음... 다 좋아요 근데 물어볼게 있어서요 2층 계단 위쪽을 보시면 양초 같은 게 있어요 근데 그거 어띃게 꺼내요 이럴 때를 데비 해서 멀리서도 물건을 얻을 수 있게 만들어 주세요 그렇게 해주시면 별 10000000000개도 더 들 리 수 있어요. 그렇게 해주시면 정말 정말 감사하겠어요.,"('Angry Birds Classic',)","('Angry Birds Classic',)"
267,Granny," 멀티플레이가 나왔으면 더 좋을듯싶네요. 물론 지금도 좋지만 멀티플레이가 나오면 여러 가지 방법으로 게임을 플레이할 수 있을 것 같네요. xbox나 디스코드, 핫스폿, 블루투스로 연결 가능해지면 좋겠네요","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
268,Granny, 간이 콩알만 한 제가 그나마 쫄리면서 할 수 있는 공포 게임이에요! 적당히 무섭고 레벨도 많이 나누어져 있고 재미있습니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
269,Granny, 이 게임 외어 나옴 너무 재밌잖아요 제 형한테도 추천했더니 무섭지만 제밌있다네요 제작자님 이 게임 너무 재밌게 하고 있는 유저니다 이지도  탈출했는데 이지~익스트림 도 탈출헸어요 다음엔 이펙트 트림 난이도 추가해주세요 ^^,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
270,Granny," 그러니 게임 재밌어요! Garnny game goodjed! 감사합니다! Tnank you! 이건 진짜 별 100개도 모자라요! This is t' enough of hundred stars! (기쁨) , (happy)","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
271,Granny, 거미 엔딩 좀 만들어 주세요. 그리고 한 명은 그러니 한 명은 사람으로 하는 온라인 도 만들어주세요,"('Bloons TD 5',)","('Bloons TD 5',)"
272,Happy Glass, 광고가 너무 많은 거 같아요 한판에 하나씩 나오는 게... 말이 안 돼요 그래도 재밌어서 별 5개!! 드립니다 아!! 그리고 물병 표정 좀 추가해주시면 더 좋을 것 같아요~♡ bb,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
273,Happy Glass," 폰은 있는데 밖이고 데이터도 없을 때나 지하철, 버스, 야외에서 기다리거나 할 거 없을 때 간단하게 할 수 있는 게임이에요","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
274,Happy Glass, 단순한 킬링타임으로 시작했는데 뇌 저~안쪽을 쓰는 기분이랄까요^^ ㅋㅋ 단순한듯하면서도 뭔가 궁리하게 되네요. 다만 광고가 많은 편이라 조금 맥이 끊길 때가 많은 게 아쉽지만. 공짜 게임이니 감수합니다~^^,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
275,Happy Glass, 아니 생각을 좀 해봐요 데이터를 끄고 하면 되잖아요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
276,Happy Glass, 아우 진짜 광고 땜에 내가 이 게임 삭제한다,"('Bubble Shooter',)","('Bubble Shooter',)"
277,Happy Glass, 250단계까지 갔었는데 다 초기화됐어요 다시 복구해 주면 좋겠네요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
278,Happy Glass, 창의력이 솟아나는 기분임 광고가 많지만 어쩔 수 없는 부분이고 그냥 게임 자체가 굉장히 흥미롭게 재밌어서 자꾸자꾸 하게 됨,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
279,Happy Glass, 너무 재밌고 귀엽고 신기하고 재밌고 암튼 재밌습니다 많이 맘에 들어서 몇 번 결제도 했어요 개발자님 파이팅,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
280,Happy Glass, 이거 정말 재미있어요. 근데 물병 세우기 정말 어려워요. 이거 근데 물병 세우기 얼마큼 있어요?,"('Cluedo',)","('Cluedo',)"
281,Happy Glass,,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
282,Helix Jump, ﻿제가 해 본 카카오 게임 중에 최고입니다 댓글 중에 게임 로딩 시간 고치라 이런 거 있는데 원래 2537인에서 게임하면 기다려야 하는 게 정상 아닌가요?? 핸드폰 기종마다 속도가 다른 건 당연한 건데.. 그리고 현질 안 하고도 업적 달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는 거 같아요 ^^,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
283,Helix Jump," '헬릭스 점프'는 친구가 하게 되어서 알게 되었는데요, 예상보다 재미있더라고요. 바깥에서 할 일이 없을 때는 언제나 휴대전화를 잡고, 이 게임을 키게 되는 것 같아요. 정말 재미있기는 한데, 광고가 너무 많이 나와서 집에서 헬릭스 점프를 할 때도 언제나 와이파이를 끄게 되네요... 뭐 그것도 장점이라면 장점 같아요. 재미있는 게임 만들어주셔서 감사합니다!","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
284,Helix Jump," 이거 진짜 갓겜 입니닷! 여러분 제가 광고 안 나오게 하는 꿀팁 알려드릴까요? 이거는 와파를 끄고 해도 실행은 되는 게임입니다. 그러니 와파를 끄고 하면, 게임은 실행되지만, 실시간으로 뜨게 되는 광고는 와파가 없으니 안 뜹니다. 게임 실행 중이시라면, 와파를 끄고, 처음부터 다시 시작하시면 됩니다! 유용하게 이용하세요ᄒ","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
285,Helix Jump, 광고 많이 나오신다는 분들 와이파이 끄세요. 그런데도 나오면 데이터를 킨 거예요. 이 게임 갓 게임입니다. 뭐 와파 끄면 부활이 없긴 하지만... 어쨌든 갓겜은 갓 게임입니다. 근데 가끔 버벅거리는 렉이 있더라고요. 그런 것만 조금 수정해주시면 되겠습니다,"('Age of Civilizations II',)","('Age of Civilizations II',)"
286,Helix Jump, 광고 이겨내는 꿀팁! 1 집에 와이파이 터지죠? 근데 왓 바를 잠깐 끄세요 2데이터도 꺼주세요 ㅎㅎ 3게임을 하면서 한... 2~3번 정도? 하다가 죽으면 와이파이를 키세요 4그러면 광고가 안 나와요((하나도 팁! 단 살아나는 광고는 나와요 5 제가 발견한 꾸러 팁입니다 6 재밌는 플레이하세요!!,"('Cluedo',)","('Cluedo',)"
287,Helix Jump, 해보니 광고 정말 많이 나오네요 게임하는 건지 광고 보는 건지 .. ㅎㅎㅎ 지금 바로 삭제해요 이게 뭔 시간 낭비야 ㅋ 여러분 이거 진짜 깔지 마세요 게임 두 번에 광고 한번 나와요 ;;;,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
288,Helix Jump," 너무 재미있어요. 근데 한가지 광고가 너무 많고요, 또 하나 제가 200레벨이었는데 한순간 게임을 켜보니 1레벨로 돼있고 아니겠어요?!! 그것 좀 복구해주세요! 그리고 광고도 조금 줄여주세요","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
289,Helix Jump, 아니 광고 좀 어떻게 해달라고요!! 제가 어려운 부탁하나요? 평가글 보기나 하세요? 진짜 답 없네 게임을 잘 만들었는데 광고 좀 주리던가 없애 주던가 하라고요!! 욕 나오게 진짜!! 마지막 부탁입니다!,"('Angry Birds Rio',)","('Angry Birds Rio',)"
290,Helix Jump, 재미있긴 한데 광고가 너무 많이 나와서 힘들고 짜증이 .... 하... 그리고 플레이 중에 광고 가 나와 진행을 못하고 있습니다. 그래서 말인데 광고를 줄려주시면 감사하겠습니다.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
291,Helix Jump, 너무너무 재밌게 플레이하고 있습니다!!💜💜💜그리고 광고에 불만 있는 분들은 와이파이 끄고 하시면 아무리 죽어도 광고가 나타나지 않아요~물론 2번째 기횐 못하지만;^^,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
292,Hill Climb Racing 2, 이 게임 1년 만인데도 아직 옛날과 똑같네요 ㅎㅎ,"('Cluedo',)","('Cluedo',)"
293,Hill Climb Racing 2, 진짜 재미있고 꿀만 잠 대박 재미 훌 륭하다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
294,Hill Climb Racing 2, 3 있으면 좋겠어요.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
295,Hill Climb Racing 2, 재미있게 즐기고 있습니다 ^^,"('Age of Civilizations II',)","('Age of Civilizations II',)"
296,Hill Climb Racing 2, Mens and,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
297,Hill Climb Racing 2, Good,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
298,Hill Climb Racing 2, 최고,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
299,Hill Climb Racing 2, 처음 시작차 지프로 끝까지 클리어 가능해서 다른 차를 안 사게 되네요 차량 밸런스 조절 좀,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
300,Hill Climb Racing 2, 음 오토바이 속도 좀 줄여주시면 좋을 것 같아요,"('Block Puzzle',)","('Block Puzzle',)"
301,Hill Climb Racing 2, 이거 진짜 최악은 아니고 꿀 잼 진짜 꿀 꿀 잼,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
302,Hill Climb Racing, 꾸준한 업데이트 감사합니다. 차에 브레이크 등이 들어왔으면 좋을 거 같고 차량의 속도도 알 수 있었으면 좋겠습니다. 그리고 차량마다 계기판의 디자인도 달랐으면 좋겠습니다. 그런 디자인에 좀 더 신경 써주시면 좋겠습니다!!!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
303,Hill Climb Racing, 에 빨간 비행기 같은 차로 달리니깐 나무 잘 깨지네요. 근데 너무 어려워요. 나무가 잘 깨졌으면 해요.,"('Bloons TD 5',)","('Bloons TD 5',)"
304,Hill Climb Racing, 악플러들아 너네가 못한다고는 생각 안 하니?,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
305,Hill Climb Racing, 저도 예전에 이 게임 일했는데 재미있었어요.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
306,Hill Climb Racing, 오랜 기간 동안 사랑받은 이유가 있습니다 간단히 즐기기에도 재밌네요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
307,Hill Climb Racing, 오랜만에 해서 재미있네요ㅡ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
308,Hill Climb Racing, 중독성 있게 재미있습니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
309,Hill Climb Racing, 중독성 있고 재밌네요,"('Bloons TD 5',)","('Bloons TD 5',)"
310,Hill Climb Racing, 한 마디로 갓겜,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
311,Hill Climb Racing, 재밌네,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
312,Hole.io, 진짜 재미있어요! 그런데 맵을 선택할 수 있으면 좋겠네요 ㅎㅎ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
313,Hole.io, 심심할 때 좋아요 만렙 찍었네요 맵 많이 있으면 좋겠어요 그리고 맵 선택 가능하게 해주실 수 있나요?,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
314,Hole.io, 앱 터치가 안 되네요 어떻게 처리 좀 부탁드립니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
315,Hole.io," 왕!중독되면서,재밌어져!ㅎㅎ재작자 짱!!","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
316,Hole.io, 넘나 재밌어요!!!!!><,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
317,Hole.io, 👍굿,"('Angry Birds Rio',)","('Angry Birds Rio',)"
318,Hole.io, 광고가 많이 안 나와서 좋네요!!,"('Bloons TD 5',)","('Bloons TD 5',)"
319,Hole.io, God game,"('Bloons TD 5',)","('Bloons TD 5',)"
320,Hole.io, 너무 재미있다,"('Age of Civilizations II',)","('Age of Civilizations II',)"
321,Hole.io, 정작 좋아요,"('Angry Birds Rio',)","('Angry Birds Rio',)"
322,Infinite Flight - 비행 시뮬레이터," Can you add airport buildings, cities and more to Infinite Flight? I would appreciate it if you could add it","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
323,Infinite Flight - 비행 시뮬레이터," Hello, can I ask for Air Pohang livery for CRJ200? It is the only plane they have in their fleet.","('Angry Birds Rio',)","('Angry Birds Rio',)"
324,Infinite Flight - 비행 시뮬레이터, I want to add to a A350^^,"('Cluedo',)","('Cluedo',)"
325,Infinite Flight - 비행 시뮬레이터, 게임은 진짜 좋아요. 근데 제가 다운로드할 때 할인을 해서 공짜로 받고 들어갔는데 중간에 결제하는 게 또 있더군요. 그걸 무시하고 a380으로 KORD에서 EHAM으로 가는데 갑자기 화면 위쪽에 빨간 글씨가 뜨면서 갑자기 속력이 줄어들더군요. 어떻게 된 거죠?,"('Age of Civilizations II',)","('Age of Civilizations II',)"
326,Infinite Flight - 비행 시뮬레이터, 제가 세계여행 업데이트 전부터 했는데 정말 세계여행 업데이트까지 온 게 대단하신 것 같습니다. 앞으로 더 많은 기종과 도장들 그리고 전투기들 공항 여러 가지 것들을 많이 개발해주셨으면 좋겠습니다. 앞으로도 응원하겠습니다!! 감사합니다~^^,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
327,Infinite Flight - 비행 시뮬레이터, 인천공항 2여객 터미널 좀 추가해주세요 Please add lncheon airport (^-^)~~~,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
328,Infinite Flight - 비행 시뮬레이터," I really like this game to various airlines, Korean Air, Asiana Airlines, really and airplane type are. This game is really the best. But one thing I need a favor. Incheon International Airport to airports are added in Asia, please, please add - please.","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
329,Infinite Flight - 비행 시뮬레이터, Lol 게임을 목적으로 하지 마세요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
330,Infinite Flight - 비행 시뮬레이터,,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
331,Infinite Flight - 비행 시뮬레이터, My favorite game! But why I need to play nother airplan for pay? I brought this game but why!!!!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
332,Kick the Buddy, 제목부터가 아기를 발로 차세요인데 잔인한 게 당연한 거 아님? 그리고 외국은 만화부터가 잔인함;;심슨이나.. 아무튼 외국에선 잔인하다고 생각하는 사람 없을 거임,"('Angry Birds Rio',)","('Angry Birds Rio',)"
333,Kick the Buddy, Kick The Boss 시절 느낌이 나는 게임이네요 그래픽 묘사가 개인에 따라서 혐오감을 줄 수 있기 때문에 주의해야 합니다. 게임의 형식 자체가 단순하고 간단히 즐기기 좋은 게임 같습니다,"('Bubble Shooter',)","('Bubble Shooter',)"
334,Kick the Buddy, 악플 다시는 분들에게 말하는데요. 애초에 악플 다실 거면 왜 까시는 거죠? 제작자님이 공들여서 만드신 건데 그렇게 악플 다시고 뭐라 하시면 안되죠 쨌든 제작자님 전 좋게 쓰고 있습니다!!!,"('Block Puzzle',)","('Block Puzzle',)"
335,Kick the Buddy, 제작자님이 스트레스를 풀게 만든 앱 아닐까요? 어떤 용도로 만들어졌는지 생각도 못 하면서 이렇게 말씀하시는 거 보고 참 어이가 없네요 전 스트레스를 풀고 참 좋은데 지우라뇨? 설명에 스트레스를 풀 수 있다고 돼있잖아요 ;; 그리고 지울라면 님들이나 지우세요 ㅋㅋㅋㅋ,"('Cluedo',)","('Cluedo',)"
336,Kick the Buddy, 7살 미만보다는 17미만이 나을 것 같네요.. 근데 화 풀리는 건 기분 탓..?저 사이코패스 인가 봐욬ㅋ,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
337,Kick the Buddy, 상대를 죽이고 7세미만이라니ㄷㄷ 광고도 많이 나왔도 스트레스를 풀게 해줌. 재미있어요.ㅋㅋㅋ,"('Bloons TD 5',)","('Bloons TD 5',)"
338,Kick the Buddy, 자 지금 이 게임 인기 앱/게임 액션 4위임. 난 솔직히 이해가 안감. 리뷰의 대부분이 최악 등급인데 왜 인기 앱/게임 액션 4위에 올랐을까? 그러면 답은 이거임. 최악 써놓고 재미있게 플레이하는 거임. 그리고 이거와 비슷한 게임도 많은데 이거만 집중적으로 괴롭히지 말자.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
339,Kick the Buddy, 다 잘 하고 있어요 그래서 링크 주소 연락처 주소 연락처 주소 연락처 주소 남겨주세요 그럼 제가 먼저 보고 있어요 그래서 저는 그냥 제가 제 남자친구입니다 제가 정말 좋아하는 제 남자친구가 저를 많이 좋아해서 많이 많이 사랑해주세요 제가 너무 잘못한 사고 또 다른 사람입니다 저는 정말 많은 사람들이 저를 어떻게 생각하세요 제가 너무 잘못한 사고 또 다른 사람입니다 저는 정말 많은 사람들이 저를 어떻게 생각하세요,"('Angry Birds Rio',)","('Angry Birds Rio',)"
340,Kick the Buddy, 여러분들 이게 7세 이상인 이유는 이 게임 잘못은 아니고 스토어에서 허락을 해줬다는 거죠. 그러니깐 7세 이상인 정도로까지 많 잔인하단 거죠,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
341,Kick the Buddy, 사이코패스도 아니고 행복하게 하나요?라는 질문을 주는 게 말이 되나요? 게임 자체가 인간의 기본적 도리를 넘은 거예요,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
342,Kingdom Rush Vengeance," 묘하게 이전 시리즈보다 타격감이 약해졌어요. 뭐라고 딱 집어서 말하긴 어려운데 킹덤 러시 특유의 착 달라붙는 조작감 같은 게 덜 느껴져서 아쉽네요. 여타 타워디펜스보다 킹덤 러시가 좋았던 게 그 미묘한 조작감의 차이 때문이었는데... 생각해보면 아이언 마린도 같은 이유로 아쉬웠는데 그때쯤부터 뭔가 변했나 싶기도 하고요. 그래도 여전히 갓덤갓쉬라 재미는 있습니다. 다만 전작들이 워낙 갓갓이라 그런 거죠. 아 참, 그리고 유료 타워는 없어도 플레이에 지장이 없었습니다.","('Bloons TD 5',)","('Bloons TD 5',)"
343,Kingdom Rush Vengeance, 엔딩 후 추가 보스 같은 건 없나요? 엔딩 보고 나서도 숨겨진 보스 같은 거 있으면 좋겠네요.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
344,Kingdom Rush Vengeance, 최고입니다 앞으로도 많은 게임 제작 부탁드립니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
345,Kingdom Rush Vengeance, 역시 믿고 하는 아이언하이드,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
346,Kingdom Rush Vengeance, 너무 재미있는데 좀 어려워요,"('Angry Birds Rio',)","('Angry Birds Rio',)"
347,Kingdom Rush Vengeance, 예전 시리즈부터 재밌게 해왔습니다~ 유로 타워는 아쉽네요ㅠㅠ,"('Block Puzzle',)","('Block Puzzle',)"
348,Kingdom Rush Vengeance, Little bit miserable that premium tower has added... but still awesome as always!!!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
349,Kingdom Rush Vengeance, 과금 유도가 많아진 거 말고는 괜찮습니다,"('Bubble Shooter',)","('Bubble Shooter',)"
350,Kingdom Rush Vengeance, 역시 킹덤 러시!,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
351,Kingdom Rush Vengeance, 존존잼잼잼존잼존존잼댐존잼,"('Angry Birds Rio',)","('Angry Birds Rio',)"
352,Knock Balls, 너무너무 재미있습니다..💕👍,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
353,Knock Balls, 최고의 게임,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
354,Knock Balls, Good,"('Angry Birds Rio',)","('Angry Birds Rio',)"
355,Knock Balls, 최고의 게임,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
356,Love Balls, 여자랑 남자가 뽀뽀를 해서 우에,"('Bloons TD 5',)","('Bloons TD 5',)"
357,Love Balls, 제가 한게임 중에서 가장 최고!입니다~~^^ 완전 마이 스타일^^,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
358,Love Balls," 정말 인생 최고의 게임 TOP 3안에는 들어욥! 여러분들 리뷰 보시면서 다운로드 기다리시는 것도 좋을 것 같아서 장문으로 쓰려고 합니다!! 지금쯤이면 다 다운로드 되신 분들도 많으실 텐데, 정말 후회하지 않으실 거고요, 광고가 조금 많이 나오는데 광고는 와이파이나 데이터 끄시면 간단하게 하실 수 있습니다!! 좋은 하루 보내세요~^^","('Bubble Shooter',)","('Bubble Shooter',)"
359,Love Balls, 정말 재밌고 간편하고 좋고 인기 많은 게임 이예요 이 게임 만든 사람이 주군제 몰라도 좋은 게임을 만들어 주셔서 감사합니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
360,Love Balls, ㅁㅊ님 양심 없으심? 광고 게 많음,"('Bloons TD 5',)","('Bloons TD 5',)"
361,Love Balls, 근데 진짜 재밌게 플레이를 했다,"('Bubble Shooter',)","('Bubble Shooter',)"
362,Love Balls, I love this game but level 12 I need some help😐🤔🤗🤗,"('Bubble Shooter',)","('Bubble Shooter',)"
363,Love Balls, 재미있는 계임입니다^^~.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
364,Love Balls, 너무 재미있어요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
365,Love Balls, 진짜 조흔 게임ㅜㅜㅜㅜ 요고 광고 많이 나온다고 하시는 분들!! 데이터 끄심 됩니다 제작자님 감사합니다!! Thank you so much !!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
366,Minecraft, 굿!!!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
367,Minecraft, 이거 잠깐 지웠다 깔았는데 로그인이 안 돼있길래 다시 하는 데 계속 안된다고 떠요 이거 좀 어떻게 해주세요,"('Bloons TD 5',)","('Bloons TD 5',)"
368,Minecraft, 이건 제 부탁인데 데스런 깔았더니 튕김 그래서 지웠다 깔아도 계속 안됨 수정 좀.....,"('Color Road',)","('Color Road',)"
369,Minecraft, 너무 꿀 잼 계속하게 돼서 재미있음,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
370,Minecraft, 아주 좋아요,"('Bubble Shooter',)","('Bubble Shooter',)"
371,Minecraft, 꿀잽,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
372,Minecraft," 재밌어요. 건축, 야생 등등등..","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
373,Minecraft, It is very good,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
374,Minecraft, 너무너무 재미있어요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
375,Minecraft, Mojang 최고! Best game! 정말 재밌는 게임입니다. 하지만 부탁이 있어요. 버전을 바꿀 수 있도록 해주세요. 이에 대한 답변을 기다리겠습니다. 답변해주시면 감사하겠습니다,"('Block Puzzle',)","('Block Puzzle',)"
376,Monument Valley," 진짜 너무 재미있고 은근 중독성 있네요! 그래픽도 좋고 챕터도 다 하나하나 예쁘게 만들어져있고 스토리랑 난이도도 좋네요 원래 리뷰 잘 안 남기는데 너무 재미있고 제 최애, 인생게임이라서 남기네요. 비록 무료로 잠깐 풀렸을 때 다운로드했지만 돈 주고 샀어도 아깝지 않았을 것 같아요! 제작자분들 좋은 게임 만들어주셔서 정말 감사합니다! 3편도 나오길 기대할게요~","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
377,Monument Valley," 돈 비싸다고 징징대는 사람들 멉니까? 1편 마지막 부분에 잘 보시길 바랍니 다. 이 금액이 어디에 쓰이는 건지요! 게임명은 아주 좋습니다.^^♡ 몽환적인 느낌, 화려한 그래픽 또한 포근 한 느낌이 들어서 월별 마크 드립니다. 조만간 3편 나올 것 같다는 제 기분 탓일 까요?^^","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
378,Monument Valley, 비싸서 안 사는 거라면 먼저 이 게임할 가치가 없도다. 이 게임은 4500원 이상의 충분한 가치를 보일뿐더러 당신의 생각 이상을 창조한다. 이 게임을 전적으로 추천하고 비싸고 안 살 거면 사지 마라. 게임 가격은 제작자가 정한다. 따지지 마라. 충분한 제력이다,"('Angry Birds Classic',)","('Angry Birds Classic',)"
379,Monument Valley," 이 게임은 명작이라고 불려도 무방할 정도로 스토리성이 뛰어나고, 또한 퍼즐마저 눈을 즐겁게 해주는 그래픽과 창작성으로 인해 짜증이 나지 않습니다. 이런 몽롱한 게임을 너무나도 원해왔는데, 드디어 이 게임을 해봐서 영광입니다. Fps와 레이싱 게임만 하던 사람으로서 눈을 즐겁게 해주고 편안하게 해주는 게임은 이 게임이 아마 처음이 아닐까.. 싶습니다.","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
380,Monument Valley," 유료로 모바일 게임을 구매해본 것은 처음 이여서 조금 망설였지만 기대 이상입니다! 퀄리티가 좋고, 무엇보다 터치감이 가장 마음에 듭니다. 몽환적인 분위기가 예쁘네요 ~ 4.500원이 아깝지 않았어요","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
381,Monument Valley, 플레이스테이션의 완다와 거상이 생각나는 건 저뿐인가요? 분위기나 BGM이 어렸을 때 했던 완다와 거상이 생각나서 추억에 빠질 수 있어서 좋았던 거 같아요 운 좋게 무료로 플레이했는데 재밌는 걸 넘어서서 좋았어요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
382,Monument Valley, 처음으로 사고 나서 후회 1도 안 하는 게임. 추가 업데이트가 있을 거라 생각했지만 후속작이 나왔다. 후속작도 구매해야지... 근데 게임을 식 제했다 다시 깔면 세이브 파일이 날라 가 있다... 구매내역은 문제없는데 세이브 파일이 계속 날아가서 삭제할 수가 없다. 폰 바꾸면 처음부터 다시 깨야 한다.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
