,ind,name,review,lda,lda-result-cosine,lda-result-euclide
253,5692.0,Grand Theft Auto III, 뭐 좀 좋네요!! 미션이 좀 어려지만.. 저는.. 8볼인가 어떻게 하는지 모르겠어요 ㅠㅠ 넘나 어려움…그리고 폰으로 하게 돼서 좋습니다!! 또 5도 폰으로 하게 해주시고 멀티 가능하면 하게 하주세요 부탁드립니다 그리고 이건 셀바스 걸로 하는 게 좋습니다... 여러분 왜냐면 차 패치도 거기밖에 안 되고 버전도 그게 더 좋고 그래픽이 더 좋으니까요 락스타 짱!!^^,"[0.09665269, 0.1308182, 0.18983081, 0.14577831, 0.18868424, 0.14659742, 0.10163833]","('Angry Birds Rio',)","('Angry Birds Rio',)"
254,5693.0,Grand Theft Auto III,개꿀 잼 근데 왜 비행기가 하늘을 날지 못하나요???      날 수 있으면 좋겠습니다.^^                             환불해달라는 분들은 들으세요!  님 폰이 쓰 렉이 겁니다.,"[0.1059773, 0.14817016, 0.18342419, 0.099027984, 0.19200158, 0.15874358, 0.11265522]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
255,5694.0,Grand Theft Auto III,댓 보다가 너무 답답해서 쓴다 아니 환불해달라는 도둑놈들은 뭐지? 실컷 즐기다가 오류 하나 나오니까 10분 훨씬 지나놓고 환불 운운하네? 나 참 어이가 없어서...  그리고 셀바스 거랑 같은 거라고? 당연한 걸 가지고 환불 운운하니... 어이가 없네... 당연히 제목이 gta 3이면 같은 게임이지.  gta 3 이 세상에 하나밖에 없는데 그럼 다르겠냐? 그리고 재미없어서 돈 환불해달라는 급식 무뇌충 도둑놈들은 아예 답이 없다. 재미없으면 10분 안에 환불하던가.,"[0.108115956, 0.17137583, 0.14672461, 0.10102633, 0.19587944, 0.16194868, 0.11492918]","('Age of Civilizations II',)","('Age of Civilizations II',)"
256,5695.0,Grand Theft Auto III, ViceCity보다 나은 점은 바퀴 터지게 하는 지뢰가 없어서 더 자유로운 레이싱이 가능하다는 것. 나름대로 명작이다.,"[0.10229915, 0.13991517, 0.1605954, 0.09529296, 0.20046692, 0.1535581, 0.1478723]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
257,5696.0,Grand Theft Auto III,업데이트 좀 해주세요 ㅠㅠ 최고의 게임인데 지원이 종료된 것이 너무 아쉬울 뿐....,"[0.10597233, 0.14816596, 0.16363505, 0.11884178, 0.1919963, 0.15873802, 0.11265058]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
258,5697.0,Grand Theft Auto III, 왜 속도계라 번역했는지는 모르겠지만 속도계 설정은 중력센서를 이용한 운전 설정입니다. 만약 운전 중 멋대로 핸들이 꺾인다면 속도계 설정을 확인해보시길,"[0.10811542, 0.15116218, 0.14672406, 0.101025805, 0.19587886, 0.16194808, 0.1351456]","('Angry Birds Rio',)","('Angry Birds Rio',)"
259,5698.0,Grand Theft Auto III,핵잼!? 저기 자전거 오토바이들을 추가해주세요 그리고 좋은 게임 욕하지 마라 게임 구매자들아,"[0.1019339, 0.14251843, 0.13833453, 0.09524967, 0.2609181, 0.15268797, 0.10835738]","('Angry Birds Rio',)","('Angry Birds Rio',)"
260,5699.0,Grand Theft Auto III,최고의 게임 셀바스가 한글화한 것을 유통한 것밖에 없습니다. 이 게임을 만든 회사는 이 회사가 맞습니다.,"[0.1019325, 0.16158007, 0.15739182, 0.09524833, 0.22280483, 0.1526864, 0.108356066]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
261,5700.0,Grand Theft Auto III,노트 5 사용자입니다. 프레임 상한을 끄니까 엄청 부드러워지네요. 재밌게 잘 플레이하고 있습니다.,"[0.106594205, 0.14752974, 0.14384456, 0.13937849, 0.19107464, 0.15862435, 0.11295402]","('Angry Birds Classic',)","('Angry Birds Classic',)"
262,5807.0,Granny, 그러니 진짜 너무 재밌고 심심할 때 항상 하고 있는 게임이에요!! 한 가지 피드백을 드리자면 두 명에서 할 수 있는 팀전 플레이가 나왔으면 좋겠어요ㅠㅠ 게임 잘하고 있습니다 ❤❤,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bloons TD 5',)","('Bloons TD 5',)"
263,5808.0,Granny, 그러니 시작한 지 1달 된 유저입니다. 그래니까 너무 재밌어 계속하다 보니 벌써 익스트림을 6번이나 클리어를 하게 됐네요. 미친 아줌마를 찾으면 나오는 엔딩이 생겼으면 좋겠네요,"[0.10597241, 0.18780334, 0.14381582, 0.09902331, 0.19199638, 0.15873809, 0.11265065]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
264,5809.0,Granny," Granny가 더 어려워졌어요!! 이건 어떻게 하는 건가요? 아... 너무 힘드네요... 그러나 Practise 모드로 연습해서 Easy, Normal, Hard 모드 도전해보도록 하겠습니다! 수고하세요, DVloper.","[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Cluedo',)","('Cluedo',)"
265,5810.0,Granny, 이정우 님 정말 어이없네요 ᄏᄏᄏ 아니 니퍼를 못 찾겠으면 공략 영상을 보고 오든가ㅋㅋㅋㅋㅋ 아 진짜 어이없네? 뭐라 해야 할지 모르겠넼ㅋㅋㅋ 웃음만 나온닼ㅋㅋ 진짜 이런 말 같지도 않은악플달지마세옄ㅋㅋ 아니면 화나겠지만 판 다시 돌리든가,"[0.10813148, 0.15117577, 0.14674109, 0.1010411, 0.19589594, 0.16196604, 0.1350486]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
266,5811.0,Granny, 음... 다 좋아요 근데 물어볼게 있어서요 2층 계단 위쪽을 보시면 양초 같은 게 있어요 근데 그거 어띃게 꺼내요 이럴 때를 데비 해서 멀리서도 물건을 얻을 수 있게 만들어 주세요 그렇게 해주시면 별 10000000000개도 더 들 리 수 있어요. 그렇게 해주시면 정말 정말 감사하겠어요.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Angry Birds Classic',)","('Angry Birds Classic',)"
267,5812.0,Granny," 멀티플레이가 나왔으면 더 좋을듯싶네요. 물론 지금도 좋지만 멀티플레이가 나오면 여러 가지 방법으로 게임을 플레이할 수 있을 것 같네요. xbox나 디스코드, 핫스폿, 블루투스로 연결 가능해지면 좋겠네요","[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
268,5813.0,Granny, 간이 콩알만 한 제가 그나마 쫄리면서 할 수 있는 공포 게임이에요! 적당히 무섭고 레벨도 많이 나누어져 있고 재미있습니다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
269,5814.0,Granny, 이 게임 외어 나옴 너무 재밌잖아요 제 형한테도 추천했더니 무섭지만 제밌있다네요 제작자님 이 게임 너무 재밌게 하고 있는 유저니다 이지도  탈출했는데 이지~익스트림 도 탈출헸어요 다음엔 이펙트 트림 난이도 추가해주세요 ^^,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
270,5815.0,Granny," 그러니 게임 재밌어요! Garnny game goodjed! 감사합니다! Tnank you! 이건 진짜 별 100개도 모자라요! This is t' enough of hundred stars! (기쁨) , (happy)","[0.10811647, 0.15116307, 0.14672516, 0.10102681, 0.19587998, 0.16194926, 0.13513926]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
271,5816.0,Granny, 거미 엔딩 좀 만들어 주세요. 그리고 한 명은 그러니 한 명은 사람으로 하는 온라인 도 만들어주세요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bloons TD 5',)","('Bloons TD 5',)"
272,6563.0,Happy Glass, 광고가 너무 많은 거 같아요 한판에 하나씩 나오는 게... 말이 안 돼요 그래도 재밌어서 별 5개!! 드립니다 아!! 그리고 물병 표정 좀 추가해주시면 더 좋을 것 같아요~♡ bb,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
273,6564.0,Happy Glass," 폰은 있는데 밖이고 데이터도 없을 때나 지하철, 버스, 야외에서 기다리거나 할 거 없을 때 간단하게 할 수 있는 게임이에요","[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
274,6565.0,Happy Glass, 단순한 킬링타임으로 시작했는데 뇌 저~안쪽을 쓰는 기분이랄까요^^ ㅋㅋ 단순한듯하면서도 뭔가 궁리하게 되네요. 다만 광고가 많은 편이라 조금 맥이 끊길 때가 많은 게 아쉽지만. 공짜 게임이니 감수합니다~^^,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
275,6566.0,Happy Glass, 아니 생각을 좀 해봐요 데이터를 끄고 하면 되잖아요,"[0.10811514, 0.15116194, 0.14672375, 0.10102553, 0.21609747, 0.16194776, 0.114928424]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
276,6567.0,Happy Glass, 아우 진짜 광고 땜에 내가 이 게임 삭제한다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bubble Shooter',)","('Bubble Shooter',)"
277,6568.0,Happy Glass, 250단계까지 갔었는데 다 초기화됐어요 다시 복구해 주면 좋겠네요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
278,6569.0,Happy Glass, 창의력이 솟아나는 기분임 광고가 많지만 어쩔 수 없는 부분이고 그냥 게임 자체가 굉장히 흥미롭게 재밌어서 자꾸자꾸 하게 됨,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
279,6570.0,Happy Glass, 너무 재밌고 귀엽고 신기하고 재밌고 암튼 재밌습니다 많이 맘에 들어서 몇 번 결제도 했어요 개발자님 파이팅,"[0.11103428, 0.15360223, 0.14979656, 0.10381045, 0.19893488, 0.16518071, 0.1176409]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
280,6571.0,Happy Glass, 이거 정말 재미있어요. 근데 물병 세우기 정말 어려워요. 이거 근데 물병 세우기 얼마큼 있어요?,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Cluedo',)","('Cluedo',)"
281,6572.0,Happy Glass,,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
282,7211.0,Helix Jump, ﻿제가 해 본 카카오 게임 중에 최고입니다 댓글 중에 게임 로딩 시간 고치라 이런 거 있는데 원래 2537인에서 게임하면 기다려야 하는 게 정상 아닌가요?? 핸드폰 기종마다 속도가 다른 건 당연한 건데.. 그리고 현질 안 하고도 업적 달성을 해서 충분히 좋은 차랑 캐릭터를 얻을 수 있는 거 같아요 ^^,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
283,7212.0,Helix Jump," '헬릭스 점프'는 친구가 하게 되어서 알게 되었는데요, 예상보다 재미있더라고요. 바깥에서 할 일이 없을 때는 언제나 휴대전화를 잡고, 이 게임을 키게 되는 것 같아요. 정말 재미있기는 한데, 광고가 너무 많이 나와서 집에서 헬릭스 점프를 할 때도 언제나 와이파이를 끄게 되네요... 뭐 그것도 장점이라면 장점 같아요. 재미있는 게임 만들어주셔서 감사합니다!","[0.09660662, 0.1333962, 0.18927753, 0.09071318, 0.20839384, 0.1620558, 0.119556844]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
284,7213.0,Helix Jump," 이거 진짜 갓겜 입니닷! 여러분 제가 광고 안 나오게 하는 꿀팁 알려드릴까요? 이거는 와파를 끄고 해도 실행은 되는 게임입니다. 그러니 와파를 끄고 하면, 게임은 실행되지만, 실시간으로 뜨게 되는 광고는 와파가 없으니 안 뜹니다. 게임 실행 중이시라면, 와파를 끄고, 처음부터 다시 시작하시면 됩니다! 유용하게 이용하세요ᄒ","[0.10792059, 0.14631036, 0.14394338, 0.10102927, 0.20857847, 0.15844624, 0.13377173]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
285,7214.0,Helix Jump, 광고 많이 나오신다는 분들 와이파이 끄세요. 그런데도 나오면 데이터를 킨 거예요. 이 게임 갓 게임입니다. 뭐 와파 끄면 부활이 없긴 하지만... 어쨌든 갓겜은 갓 게임입니다. 근데 가끔 버벅거리는 렉이 있더라고요. 그런 것만 조금 수정해주시면 되겠습니다,"[0.11103504, 0.15360247, 0.14979602, 0.10381008, 0.19893475, 0.16518033, 0.11764132]","('Age of Civilizations II',)","('Age of Civilizations II',)"
286,7215.0,Helix Jump, 광고 이겨내는 꿀팁! 1 집에 와이파이 터지죠? 근데 왓 바를 잠깐 끄세요 2데이터도 꺼주세요 ㅎㅎ 3게임을 하면서 한... 2~3번 정도? 하다가 죽으면 와이파이를 키세요 4그러면 광고가 안 나와요((하나도 팁! 단 살아나는 광고는 나와요 5 제가 발견한 꾸러 팁입니다 6 재밌는 플레이하세요!!,"[0.10367344, 0.17125376, 0.13878946, 0.1177992, 0.18618295, 0.1733169, 0.10898426]","('Cluedo',)","('Cluedo',)"
287,7216.0,Helix Jump, 해보니 광고 정말 많이 나오네요 게임하는 건지 광고 보는 건지 .. ㅎㅎㅎ 지금 바로 삭제해요 이게 뭔 시간 낭비야 ㅋ 여러분 이거 진짜 깔지 마세요 게임 두 번에 광고 한번 나와요 ;;;,"[0.11030367, 0.14754668, 0.12632518, 0.10439486, 0.16863571, 0.13943122, 0.20336269]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
288,7217.0,Helix Jump," 너무 재미있어요. 근데 한가지 광고가 너무 많고요, 또 하나 제가 200레벨이었는데 한순간 게임을 켜보니 1레벨로 돼있고 아니겠어요?!! 그것 좀 복구해주세요! 그리고 광고도 조금 줄여주세요","[0.10103293, 0.19464827, 0.15459499, 0.11345578, 0.17966536, 0.14968048, 0.10692221]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
289,7218.0,Helix Jump, 아니 광고 좀 어떻게 해달라고요!! 제가 어려운 부탁하나요? 평가글 보기나 하세요? 진짜 답 없네 게임을 잘 만들었는데 광고 좀 주리던가 없애 주던가 하라고요!! 욕 나오게 진짜!! 마지막 부탁입니다!,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Angry Birds Rio',)","('Angry Birds Rio',)"
290,7219.0,Helix Jump, 재미있긴 한데 광고가 너무 많이 나와서 힘들고 짜증이 .... 하... 그리고 플레이 중에 광고 가 나와 진행을 못하고 있습니다. 그래서 말인데 광고를 줄려주시면 감사하겠습니다.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
291,7220.0,Helix Jump, 너무너무 재밌게 플레이하고 있습니다!!💜💜💜그리고 광고에 불만 있는 분들은 와이파이 끄고 하시면 아무리 죽어도 광고가 나타나지 않아요~물론 2번째 기횐 못하지만;^^,"[0.096472815, 0.20705861, 0.1489493, 0.09018486, 0.1747605, 0.1445373, 0.13803661]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
292,7459.0,Hill Climb Racing 2, 이 게임 1년 만인데도 아직 옛날과 똑같네요 ㅎㅎ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Cluedo',)","('Cluedo',)"
293,7460.0,Hill Climb Racing 2, 진짜 재미있고 꿀만 잠 대박 재미 훌 륭하다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
294,7461.0,Hill Climb Racing 2, 3 있으면 좋겠어요.,"[0.103913866, 0.1452873, 0.16045111, 0.09709977, 0.18826608, 0.19451962, 0.11046225]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
295,7462.0,Hill Climb Racing 2, 재미있게 즐기고 있습니다 ^^,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Age of Civilizations II',)","('Age of Civilizations II',)"
296,7463.0,Hill Climb Racing 2, Mens and,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
297,7464.0,Hill Climb Racing 2, Good,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
298,7465.0,Hill Climb Racing 2, 최고,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
299,7466.0,Hill Climb Racing 2, 처음 시작차 지프로 끝까지 클리어 가능해서 다른 차를 안 사게 되네요 차량 밸런스 조절 좀,"[0.108115, 0.15116183, 0.1669434, 0.10102541, 0.19587843, 0.16194762, 0.114928305]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
300,7467.0,Hill Climb Racing 2, 음 오토바이 속도 좀 줄여주시면 좋을 것 같아요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Block Puzzle',)","('Block Puzzle',)"
301,7468.0,Hill Climb Racing 2, 이거 진짜 최악은 아니고 꿀 잼 진짜 꿀 꿀 잼,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
302,8176.0,Hill Climb Racing, 꾸준한 업데이트 감사합니다. 차에 브레이크 등이 들어왔으면 좋을 거 같고 차량의 속도도 알 수 있었으면 좋겠습니다. 그리고 차량마다 계기판의 디자인도 달랐으면 좋겠습니다. 그런 디자인에 좀 더 신경 써주시면 좋겠습니다!!!,"[0.10811619, 0.15116283, 0.14672486, 0.10102654, 0.1958797, 0.16194895, 0.13514094]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
303,8177.0,Hill Climb Racing, 에 빨간 비행기 같은 차로 달리니깐 나무 잘 깨지네요. 근데 너무 어려워요. 나무가 잘 깨졌으면 해요.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bloons TD 5',)","('Bloons TD 5',)"
304,8178.0,Hill Climb Racing, 악플러들아 너네가 못한다고는 생각 안 하니?,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
305,8179.0,Hill Climb Racing, 저도 예전에 이 게임 일했는데 재미있었어요.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
306,8180.0,Hill Climb Racing, 오랜 기간 동안 사랑받은 이유가 있습니다 간단히 즐기기에도 재밌네요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
307,8181.0,Hill Climb Racing, 오랜만에 해서 재미있네요ㅡ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
308,8182.0,Hill Climb Racing, 중독성 있게 재미있습니다,"[0.10599148, 0.14818217, 0.14383605, 0.11879925, 0.19201665, 0.15875942, 0.13241501]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
309,8183.0,Hill Climb Racing, 중독성 있고 재밌네요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bloons TD 5',)","('Bloons TD 5',)"
310,8184.0,Hill Climb Racing, 한 마디로 갓겜,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
311,8185.0,Hill Climb Racing, 재밌네,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
312,8858.0,Hole.io, 진짜 재미있어요! 그런데 맵을 선택할 수 있으면 좋겠네요 ㅎㅎ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
313,8859.0,Hole.io, 심심할 때 좋아요 만렙 찍었네요 맵 많이 있으면 좋겠어요 그리고 맵 선택 가능하게 해주실 수 있나요?,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
314,8860.0,Hole.io, 앱 터치가 안 되네요 어떻게 처리 좀 부탁드립니다,"[0.10002767, 0.13985287, 0.21057251, 0.09346846, 0.1999152, 0.14983235, 0.10633094]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
315,8861.0,Hole.io," 왕!중독되면서,재밌어져!ㅎㅎ재작자 짱!!","[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
316,8862.0,Hole.io, 넘나 재밌어요!!!!!><,"[0.10216783, 0.13749452, 0.15450229, 0.09566737, 0.17782877, 0.1679833, 0.16435596]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
317,8863.0,Hole.io, 👍굿,"[0.10002614, 0.13985156, 0.13574576, 0.093466975, 0.19992986, 0.16853791, 0.16244178]","('Angry Birds Rio',)","('Angry Birds Rio',)"
318,8864.0,Hole.io, 광고가 많이 안 나와서 좋네요!!,"[0.10811497, 0.1511618, 0.14672358, 0.10102538, 0.1958784, 0.1821676, 0.114928275]","('Bloons TD 5',)","('Bloons TD 5',)"
319,8865.0,Hole.io, God game,"[0.10472676, 0.14491242, 0.17851296, 0.09786596, 0.2071897, 0.15583356, 0.11095866]","('Bloons TD 5',)","('Bloons TD 5',)"
320,8866.0,Hole.io, 너무 재미있다,"[0.104501024, 0.14460215, 0.1410121, 0.11723776, 0.1874752, 0.17495388, 0.1302179]","('Age of Civilizations II',)","('Age of Civilizations II',)"
321,8867.0,Hole.io, 정작 좋아요,"[0.108491756, 0.18514955, 0.1437827, 0.10162129, 0.1884846, 0.1587053, 0.113764815]","('Angry Birds Rio',)","('Angry Birds Rio',)"
322,9098.0,Infinite Flight - 비행 시뮬레이터," Can you add airport buildings, cities and more to Infinite Flight? I would appreciate it if you could add it","[0.10811493, 0.15116176, 0.14672354, 0.101025335, 0.19587834, 0.16194752, 0.13514857]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
323,9099.0,Infinite Flight - 비행 시뮬레이터," Hello, can I ask for Air Pohang livery for CRJ200? It is the only plane they have in their fleet.","[0.10556402, 0.16257276, 0.16065747, 0.11771866, 0.18702444, 0.15579657, 0.11066609]","('Angry Birds Rio',)","('Angry Birds Rio',)"
324,9100.0,Infinite Flight - 비행 시뮬레이터, I want to add to a A350^^,"[0.106358394, 0.1467477, 0.15921009, 0.099183805, 0.19071169, 0.18521762, 0.11257073]","('Cluedo',)","('Cluedo',)"
325,9101.0,Infinite Flight - 비행 시뮬레이터, 게임은 진짜 좋아요. 근데 제가 다운로드할 때 할인을 해서 공짜로 받고 들어갔는데 중간에 결제하는 게 또 있더군요. 그걸 무시하고 a380으로 KORD에서 EHAM으로 가는데 갑자기 화면 위쪽에 빨간 글씨가 뜨면서 갑자기 속력이 줄어들더군요. 어떻게 된 거죠?,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Age of Civilizations II',)","('Age of Civilizations II',)"
326,9102.0,Infinite Flight - 비행 시뮬레이터, 제가 세계여행 업데이트 전부터 했는데 정말 세계여행 업데이트까지 온 게 대단하신 것 같습니다. 앞으로 더 많은 기종과 도장들 그리고 전투기들 공항 여러 가지 것들을 많이 개발해주셨으면 좋겠습니다. 앞으로도 응원하겠습니다!! 감사합니다~^^,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
327,9103.0,Infinite Flight - 비행 시뮬레이터, 인천공항 2여객 터미널 좀 추가해주세요 Please add lncheon airport (^-^)~~~,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
328,9104.0,Infinite Flight - 비행 시뮬레이터," I really like this game to various airlines, Korean Air, Asiana Airlines, really and airplane type are. This game is really the best. But one thing I need a favor. Incheon International Airport to airports are added in Asia, please, please add - please.","[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
329,9105.0,Infinite Flight - 비행 시뮬레이터, Lol 게임을 목적으로 하지 마세요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
330,9106.0,Infinite Flight - 비행 시뮬레이터,,"[0.10890267, 0.12959562, 0.14457518, 0.1397563, 0.18608278, 0.19190702, 0.09918042]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
331,9107.0,Infinite Flight - 비행 시뮬레이터, My favorite game! But why I need to play nother airplan for pay? I brought this game but why!!!!,"[0.11509738, 0.15207177, 0.13100514, 0.18073703, 0.17417993, 0.14423798, 0.10267078]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
332,9687.0,Kick the Buddy, 제목부터가 아기를 발로 차세요인데 잔인한 게 당연한 거 아님? 그리고 외국은 만화부터가 잔인함;;심슨이나.. 아무튼 외국에선 잔인하다고 생각하는 사람 없을 거임,"[0.1039128, 0.14528641, 0.16045421, 0.09709877, 0.20769948, 0.1750871, 0.11046126]","('Angry Birds Rio',)","('Angry Birds Rio',)"
